cover_img,authors,publication_year,title,rating
book_covers/1.png,James Patterson,2005,The Angel Experiment,4.08
book_covers/2.png,James Patterson,2006,School's Out Forever,4.16
book_covers/3.png,"James Patterson, Keith David, Anthony Heald",1997,Cat & Mouse,3.96
book_covers/4.png,"James Patterson, Maxine Paetro",2006,The 5th Horseman,4.03
book_covers/5.png,"James Patterson, Maxine Paetro",2007,The 6th Target,4.02
book_covers/6.png,James Patterson,2010,Fang,4.07
book_covers/7.png,James Patterson,2003,The Big Bad Wolf  ,3.97
book_covers/8.png,James Patterson,2011,Angel,4.02
book_covers/9.png,James Patterson,2007,Double Cross,3.99
book_covers/10.png,James Patterson,2002,Four Blind Mice,3.98
book_covers/11.png,"James Patterson, Maxine Paetro",2009,The 8th Confession,4.02
book_covers/12.png,"James Patterson, Maxine Paetro",2010,The 9th Judgment,4.08
book_covers/13.png,"James Patterson, Michael Ledwidge",2012,Zoo,3.43
book_covers/14.png,"James Patterson, Michael Ledwidge",2011,Now You See Her,3.98
book_covers/15.png,"James Patterson, NaRae Lee",2009,"Maximum Ride: The Manga, Vol. 1",4.24
book_covers/16.png,James Patterson,2008,Cross Country,3.83
book_covers/17.png,"James Patterson, Maxine Paetro",2012,11th hour,4.02
book_covers/18.png,"James Patterson, Maxine Paetro",2013,12th of Never,3.99
book_covers/19.png,"James Patterson, David Ellis",2015,The Murder House,4.05
book_covers/20.png,James Patterson,2011,Kill Alex Cross,4.0
book_covers/21.png,"James Patterson, Marshall Karp",2012,NYPD Red,3.9
book_covers/22.png,James Patterson,2012,Nevermore,3.88
book_covers/23.png,"James Patterson, Andrew Gross",2005,Lifeguard,3.76
book_covers/24.png,James Patterson,2010,Cross Fire,4.04
book_covers/25.png,"James Patterson, Howard Roughan",2008,Sail,3.8
book_covers/26.png,"James Patterson, Maxine Paetro",2015,14th Deadly Sin,3.99
book_covers/27.png,"James Patterson, Ned Rust",2010,The Gift,3.78
book_covers/28.png,"James Patterson, Liza Marklund",2010,The Postcard Killers,3.78
book_covers/29.png,"James Patterson, David Ellis",2014,Invisible,4.05
book_covers/30.png,"James Patterson, Maxine Paetro",2012,Confessions of a murder suspect,3.89
book_covers/31.png,"James Patterson, Maxine Paetro",2009,Swimsuit,3.63
book_covers/32.png,"James Patterson, Marshall Karp",2011,Kill Me If You Can,4.0
book_covers/33.png,James Patterson,2013,"Alex Cross, Run",4.03
book_covers/34.png,"James Patterson, Michael Ledwidge",2010,Tick Tock,4.03
book_covers/35.png,James Patterson,2014,Hope to Die,4.14
book_covers/36.png,"James Patterson, Richard DiLallo",2009,Alex Cross's Trial,3.92
